iter	RMSE
531	3.776892634
532	3.776205758
533	3.774896422
534	3.77233258
535	3.771984451
536	3.769607848
537	3.768884394
538	3.766998006
539	3.764633682
540	3.76458516
541	3.760461943
542	3.759390152
543	3.756666255
544	3.755269048
545	3.7551739
546	3.750930845
547	3.746865271
548	3.743902811
549	3.743239972
550	3.741026855
551	3.73736307
552	3.735790096
553	3.735133253
554	3.732616917
555	3.729691128
556	3.728586979
557	3.725939806
558	3.724889002
559	3.719824789
560	3.719670592
561	3.719522322
562	3.715968952
563	3.714300516
564	3.712371943
565	3.711102532
566	3.708786542
567	3.706924369
568	3.704811953
569	3.70328782
570	3.702745239
571	3.700623666
572	3.699238625
573	3.697637044
574	3.695751825
575	3.695513435
576	3.693626725
577	3.691795424
578	3.688875819
579	3.687220441
580	3.684300524
581	3.681446148
582	3.679162316
583	3.678692966
584	3.675161223
585	3.670949709
586	3.668617546
587	3.666107139
588	3.664006169
589	3.661194853
590	3.661130238
591	3.660837253
592	3.657523754
593	3.653866278
594	3.651288798
595	3.650609889
596	3.648343516
597	3.646751538
598	3.643877178
599	3.639951595
600	3.637086239
601	3.636802404
602	3.634565266
603	3.632686375
604	3.631236053
605	3.630212351
606	3.625681616
607	3.622912805
608	3.620962513
609	3.617431787
610	3.614977161
611	3.611120344
612	3.608603284
613	3.608187255
614	3.605468089
615	3.602915053
616	3.601283692
617	3.60005977
618	3.598313779
619	3.597412724
620	3.592128876
621	3.589816692
622	3.589606019
623	3.588192335
624	3.586608924
625	3.58619214
626	3.58439117
627	3.581408375
628	3.579639005
629	3.578831593
630	3.578582912
631	3.577153922
632	3.575303618
633	3.573386101
634	3.571511231
635	3.569271706
636	3.568886729
637	3.566694998
638	3.564303696
639	3.564152644
640	3.562376388
641	3.561357858
642	3.557905827
643	3.556726709
644	3.554239178
645	3.553270395
646	3.551484964
647	3.550715111
648	3.548463509
649	3.545845911
650	3.54506356
651	3.545005685
652	3.539928126
653	3.538985227
654	3.536846078
655	3.536152445
656	3.534921446
657	3.53439725
658	3.532866859
659	3.531767869
660	3.530605269
661	3.52787606
662	3.5265253
663	3.526376384
664	3.523761756
665	3.522987195
666	3.522734776
667	3.520812994
668	3.519421007
669	3.517011639
670	3.515483275
671	3.513819649
672	3.513018852
673	3.511657792
674	3.510002125
675	3.508038073
676	3.505949469
677	3.503439194
678	3.501338466
679	3.500093725
680	3.497869664
681	3.496711446
682	3.493765115
683	3.49073737
684	3.488113252
685	3.485989558
686	3.484518138
687	3.484013061
688	3.482964742
689	3.481595708
690	3.481364942
691	3.47918687
692	3.478744963
693	3.47822057
694	3.477851785
695	3.477076156
696	3.474622933
697	3.473412711
698	3.469387383
699	3.467551087
700	3.467385276
701	3.464070989
702	3.461626863
703	3.460807126
704	3.459326757
705	3.458290092
706	3.457500811
707	3.454779365
708	3.453988686
709	3.451777779
710	3.449319295
711	3.448626361
712	3.446733678
713	3.446606518
714	3.444984261
715	3.444210348
716	3.440863318
717	3.438049727
718	3.436124488
719	3.435864792
720	3.433058373
721	3.431738014
722	3.427956518
723	3.42602144
724	3.424856666
725	3.423567408
726	3.42187267
727	3.420713338
728	3.419480923
729	3.418882852
730	3.416369467
731	3.415382547
732	3.414857123
733	3.411805323
734	3.410596839
735	3.408304468
736	3.40785547
737	3.405058141
738	3.40137309
739	3.39966444
740	3.396656353
741	3.396261865
742	3.394405407
743	3.393662506
744	3.392861523
745	3.390377037
746	3.390159994
747	3.389845088
748	3.388263444
749	3.387732754
750	3.384744568
751	3.384583859
752	3.383068047
753	3.382776888
754	3.38156766
755	3.381368934
756	3.379613358
757	3.378165069
758	3.377247922
759	3.376851507
760	3.376243616
761	3.374153201
762	3.37336061
763	3.371066398
764	3.367774043
765	3.364467807
766	3.362693741
767	3.360895767
768	3.360853284
769	3.358435745
770	3.357641144
771	3.355817508
772	3.353317227
773	3.352706721
774	3.352015022
775	3.351962977
776	3.35163263
777	3.351216852
778	3.350968188
779	3.349426939
780	3.347856969
781	3.344735142
782	3.343137185
783	3.341841445
784	3.340698659
785	3.339692911
786	3.338139955
787	3.336572874
788	3.334541307
789	3.333695544
790	3.331449247
791	3.330773784
792	3.328599948
793	3.32647777
794	3.323953729
795	3.321841447
796	3.319447136
797	3.317777087
798	3.313499639
799	3.312129383
800	3.311242488
801	3.308416871
802	3.307303047
803	3.305155698
804	3.304814759
805	3.300981572
806	3.300186717
807	3.299016633
808	3.297833477
809	3.295687
810	3.293898972
811	3.292030165
812	3.29182663
813	3.291060133
814	3.290971735
815	3.289341985
816	3.288251165
817	3.28739593
818	3.286130066
819	3.284518569
820	3.282995227
821	3.281707662
822	3.281565687
823	3.281486197
824	3.279952585
825	3.277585884
826	3.276511095
827	3.275879511
828	3.275061957
829	3.274290771
830	3.27397095
831	3.270617819
832	3.270471597
833	3.270089842
834	3.268925575
835	3.267597181
836	3.266189219
837	3.264580368
838	3.263301854
839	3.26062376
840	3.259196107
841	3.258195136
842	3.256458482
843	3.254118595
844	3.252210695
845	3.24911403
846	3.248812256
847	3.247994346
848	3.243578241
849	3.243193152
850	3.24167149
851	3.241372594
852	3.23964916
853	3.238180454
854	3.238144795
855	3.234151365
856	3.230862451
857	3.229269976
858	3.226784074
859	3.225306199
860	3.224654523
861	3.222414986
862	3.22035708
863	3.21836122
864	3.216664623
865	3.214816001
866	3.211713614
867	3.209248375
868	3.208004994
869	3.206320967
870	3.205140711
871	3.202850179
872	3.201856009
873	3.20026179
874	3.200010461
875	3.197928048
876	3.195985077
877	3.19470188
878	3.193731742
879	3.19197077
880	3.190399058
881	3.188114539
882	3.18744063
883	3.184601032
884	3.183421376
885	3.181914514
886	3.181716346
887	3.179618837
888	3.178208265
889	3.176682687
890	3.176599979
891	3.175717961
892	3.173577842
893	3.170113976
894	3.165748363
895	3.16521501
896	3.16438141
897	3.163315328
898	3.162020609
899	3.16104323
900	3.160147833
901	3.159848471
902	3.156291577
903	3.155138165
904	3.151768633
905	3.149274425
906	3.148876591
907	3.145377714
908	3.144263239
909	3.142044518
910	3.139592355
911	3.138161181
912	3.135906505
913	3.135043096
914	3.131092137
915	3.130930849
916	3.128324855
917	3.127527104
918	3.127211147
919	3.124822292
920	3.120974051
921	3.12038865
922	3.119210238
923	3.119185946
924	3.11903321
925	3.118135223
926	3.114703946
927	3.114022996
928	3.111287961
929	3.111028501
930	3.109266487
931	3.109077428
932	3.107980881
933	3.107046083
934	3.106109453
935	3.105617704
936	3.103781273
937	3.10245562
938	3.101234316
939	3.098441286
940	3.096817456
941	3.093620771
942	3.090969534
943	3.089115893
944	3.088863435
945	3.088229923
946	3.084924599
947	3.083498836
948	3.082517993
949	3.082206822
950	3.079167137
951	3.078666558
952	3.078325327
953	3.076225482
954	3.075137448
955	3.074170105
956	3.072543205
957	3.069296403
958	3.068503508
959	3.067756883
960	3.066422887
961	3.064453398
962	3.063072552
963	3.062832212
964	3.062738041
965	3.061807677
966	3.061668912
967	3.059813564
968	3.05906543
969	3.058883059
970	3.058643257
971	3.054818457
972	3.053576961
973	3.05093348
974	3.048061451
975	3.047655805
976	3.045313746
977	3.044847575
978	3.043487166
979	3.042656514
980	3.041807605
981	3.038360871
982	3.037653967
983	3.037488533
984	3.036556069
985	3.034525227
986	3.031764843
987	3.031218862
988	3.028834352
989	3.025925411
990	3.023912513
991	3.023499591
992	3.021840549
993	3.021115922
994	3.019167725
995	3.01784049
996	3.017685353
997	3.016388618
998	3.015643316
999	3.013875179
